# Created by Octave 3.0.1, Mon Sep 14 18:47:57 2009 PDT <jwawerla@marvin2>
# name: wait_energy
# type: matrix
# rows: 11
# columns: 20
 2002.662719726562 1913.792846679688 1751.572875976562 2144.2529296875 2176.019287109375 1929.80224609375 2184.18017578125 1800.988891601562 2130.741455078125 1839.061157226562 2259.93359375 2173.583984375 1785.456787109375 1827.207397460938 1960.918090820312 1752.842651367188 2005.139892578125 2076.48486328125 2170.58642578125 1894.309936523438
 2288.89404296875 2536.301513671875 2441.529296875 2283.693603515625 2101.08056640625 2276.551513671875 2175.222900390625 2035.6572265625 2224.447265625 2132.248779296875 2315.626708984375 2383.4609375 2247.007080078125 2286.3193359375 2231.76904296875 2534.226318359375 2375.025390625 2119.32470703125 2244.5712890625 2071.497802734375
 2536.010498046875 2740.3271484375 2605.67822265625 2492.71240234375 2299.30859375 2335.959228515625 2586.996826171875 2568.547607421875 2311.4912109375 2173.525146484375 2388.140380859375 2449.22802734375 2379.822509765625 2447.68359375 2468.298828125 2507.48681640625 2232.466064453125 2269.228759765625 2358.2568359375 2466.28125
 2563.355712890625 2546.537841796875 2495.595947265625 2791.45751953125 2664.556884765625 2553.403076171875 2648.9052734375 2698.30517578125 2758.34033203125 2693.604248046875 2641.431640625 2721.1083984375 2712.53271484375 2665.27978515625 2662.372802734375 2806.93994140625 2835.791748046875 2283.95654296875 2860.883544921875 2745.345703125
 2887.623779296875 2666.948486328125 2838.139404296875 2803.74560546875 2974.7705078125 2742.060302734375 2698.76806640625 2787.952392578125 2838.712890625 2463.4794921875 2962.570068359375 2936.094482421875 2662.90771484375 2882.87109375 2695.54833984375 2550.8583984375 2845.282958984375 2890.4189453125 2759.778564453125 2874.681884765625
 2994.600830078125 2928.665771484375 2952.949951171875 2643.698974609375 2792.6474609375 2984.6005859375 2873.179931640625 2733.942138671875 2947.865234375 2787.882568359375 2788.882568359375 2730.835205078125 2973.86376953125 2941.697265625 2812.328369140625 2899.941650390625 2783.11767578125 2783.0478515625 2898.9580078125 2681.414306640625
 3117.279296875 2994.347900390625 2978.656982421875 2931.4208984375 2876.08447265625 2984.711181640625 3002.826416015625 2703.02099609375 2981.012451171875 2980.11328125 2867.418212890625 2980.23486328125 2916.2529296875 2900.090087890625 2947.11865234375 3016.845947265625 2762.6083984375 2737.89599609375 2850.74365234375 2825.6630859375
 3115.79248046875 2917.482421875 3017.341064453125 2953.0234375 3133.8046875 2887.984375 2922.8369140625 2939.451171875 2985.90380859375 2942.84326171875 3031.124267578125 2915.366943359375 2964.4873046875 2852.7607421875 3050.7998046875 2949.94873046875 3088.8486328125 2862.431640625 2873.80859375 2945.636962890625
 3008.036376953125 3092.888427734375 3052.16455078125 3089.744140625 3110.580078125 2798.49951171875 3120.70458984375 3090.733154296875 3062.02978515625 3099.009521484375 2985.380859375 3111.712646484375 3096.55126953125 2923.201904296875 3070.024658203125 3163.04345703125 3198.482421875 3164.040283203125 3149.3251953125 2932.96435546875
 3094.34033203125 3130.224853515625 3005.9404296875 3152.955322265625 3087.616943359375 3141.942138671875 2841.630126953125 3025.206298828125 3106.091796875 3152.21923828125 3134.68359375 3024.87890625 3083.22705078125 3236.701171875 3028.338623046875 3113.7578125 3179.104736328125 2934.4384765625 3182.703857421875 3143.35595703125
 3057.320556640625 3122.7490234375 3156.818115234375 3157.227294921875 3105.50537109375 3244.673095703125 3191.784912109375 3217.11181640625 3164.61474609375 3216.552490234375 3220.0791015625 3113.513427734375 3130.527587890625 3086.3916015625 3087.156005859375 3112.270263671875 3114.181640625 3230.39892578125 3009.3349609375 3211.503173828125
# name: wait_flags
# type: matrix
# rows: 11
# columns: 20
 268 250 238 287 288 257 281 241 278 253 293 278 242 246 261 241 261 266 284 258
 293 307 302 293 268 291 277 266 284 272 294 303 289 289 279 313 302 273 289 267
 314 331 316 297 283 296 310 311 289 277 292 309 295 297 312 304 285 289 296 305
 300 297 305 323 320 307 310 311 325 314 310 321 315 311 319 324 328 287 324 325
 338 314 331 322 333 321 321 317 318 296 337 330 307 331 314 312 327 333 320 327
 320 330 335 300 316 334 325 317 332 320 322 320 342 333 326 327 320 323 331 315
 338 332 337 338 313 332 336 316 329 330 326 335 329 327 331 328 319 313 322 323
 344 322 342 332 340 323 317 329 330 334 338 322 329 320 340 333 340 316 327 321
 331 346 332 343 338 321 334 339 344 343 327 341 346 324 341 345 347 337 345 325
 340 342 331 339 336 336 314 325 336 338 341 315 335 351 329 332 346 312 351 338
 332 338 342 342 343 347 354 339 344 349 348 335 342 331 334 336 334 346 328 349
