# Created by Octave 3.0.1, Fri Sep 11 16:54:58 2009 PDT <jwawerla@marvin2>
# name: replan_energy
# type: matrix
# rows: 3
# columns: 20
 2257.047607421875 2251.994384765625 2247.980224609375 2247.1162109375 2262.36376953125 2255.29931640625 2265.64111328125 2242.661376953125 2248.3671875 2207.481201171875 2247.986328125 2227.875244140625 2237.770263671875 2263.1767578125 2249.830322265625 2252.892822265625 2238.03564453125 2244.688720703125 2261.125 2267.20849609375
 2415.6162109375 2419.044921875 2390.619384765625 2424.445556640625 2383.92822265625 2405.028564453125 2430.70947265625 2423.974609375 2428.217041015625 2424.520263671875 2447.77685546875 2458.395751953125 2441.604248046875 2435.80322265625 2392.051025390625 2437.60205078125 2453.34423828125 2438.35986328125 2417.459716796875 2391.75146484375
 2263.85009765625 2275.056884765625 2252.901123046875 2247.505859375 2269.364501953125 2306.61181640625 2240.1181640625 2219.37158203125 2257.146728515625 2279.328125 2247.02978515625 2222.95361328125 2292.21826171875 2261.31494140625 2281.534912109375 2260.892333984375 2271.19384765625 2225.81103515625 2247.836669921875 2268.3955078125
# name: replan_flags
# type: matrix
# rows: 3
# columns: 20
 313 306 301 307 308 308 312 305 309 298 305 303 306 310 307 308 307 306 308 308
 326 328 320 329 318 327 334 330 331 329 335 337 332 329 324 329 332 331 325 324
 299 304 298 297 301 294 293 293 297 303 292 284 287 304 306 299 298 293 298 300
